Time,Distance,Ground Speed,Throttle Pos,Brake Pos,Clutch Pos,Steering,Realtime Loss,Marker,Max Straight Speed,Min Corner Speed,Brake Bias Rear,Steering Shaft Torque,FFB Output,Session Elapsed Time,Lap Number,Steering Wheel Position,Engine RPM,Gear,G Force Lat,G Force Long,G Force Vert,Eng Water Temp,Eng Oil Temp,Fuel Level,Brake Temp FL,Brake Temp FR,Brake Temp RL,Brake Temp RR,GPS Latitude,GPS Longitude,Ambient Temperature,Track Temperature,Wheel Rot Speed FL,Wheel Rot Speed FR,Wheel Rot Speed RL,Wheel Rot Speed RR,Tyre Wear FL,Tyre Wear FR,Tyre Wear RL,Tyre Wear RR,Tyre Pressure FL,Tyre Pressure FR,Tyre Pressure RL,Tyre Pressure RR,Tyre Load FL,Tyre Load FR,Tyre Load RL,Tyre Load RR,Grip Fract FL,Grip Fract FR,Grip Fract RL,Grip Fract RR,Ride Height FL,Ride Height FR,Ride Height RL,Ride Height RR,Tyre Temp FL Outer,Tyre Temp FL Centre,Tyre Temp FL Inner,Tyre Temp FR Outer,Tyre Temp FR Centre,Tyre Temp FR Inner,Tyre Temp RL Outer,Tyre Temp RL Centre,Tyre Temp RL Inner,Tyre Temp RR Outer,Tyre Temp RR Centre,Tyre Temp RR Inner
s,m,km/h,%,%,%,%,s,,km/h,km/h,%,N.m,%,s,,deg,rpm,,G,G,G,C,C,l,C,C,C,C,deg,deg,C,C,rad/s,rad/s,rad/s,rad/s,%,%,%,%,kPa,kPa,kPa,kPa,N,N,N,N,%,%,%,%,mm,mm,mm,mm,C,C,C,C,C,C,C,C,C,C,C,C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.28,19.2,247.4,100,0,0,-0.541,0,0,284.1,145.54,44.916,0.98,6.912,3980,32,-1.22,6518,6,0,-0.25,0.18,0,0,24.84,502.9,489.3,384,379.5,0.0000182,-135.0006787,24.9,24.9,204.74,204.98,199.12,199.12,7.808,8.206,11.044,9.916,160.11,158.87,159.6,157.5,0,0,0,0,0,0,0,0,54.9,56.2,48.4,47.9,58.8,58.51,59.71,48.86,53.36,62.85,65.37,67.07,70.46,56.16,62.76,72.7
0.3,20.6,247.5,100,0,0,-0.514,0,0,284.1,145.54,44.916,0.87,6.852,3980,32,-1.16,6522,6,-0.13,-0.26,0.17,0,0,24.84,502.3,488.7,383.5,379,0.00001775,-135.0006664,24.9,24.9,204.9,205.39,199.23,199.23,7.808,8.206,11.044,9.916,160.12,158.86,159.64,157.53,0,0,0,0,0,0,0,0,58.8,60.9,47.4,47.2,58.8,58.51,59.72,48.87,53.38,62.86,65.39,67.1,70.49,56.19,62.79,72.73
0.32,21.9,247.7,100,0,0,-0.488,0,0,284.1,145.54,44.916,0.77,6.34,3980,32,-1.1,6526,6,-0.26,-0.27,0.16,0,0,24.84,501.7,488.1,383.1,378.6,0.0000173,-135.000654,24.9,24.9,205.06,205.8,199.34,199.34,7.808,8.206,11.044,9.916,160.12,158.85,159.67,157.56,0,0,0,0,0,0,0,0,62.6,65.7,46.3,46.4,58.8,58.51,59.74,48.88,53.39,62.87,65.41,67.12,70.52,56.22,62.82,72.76
0.34,23.3,247.9,100,0,0,-0.439,0,0,284.1,145.54,44.916,0.58,5.524,3980,32,-0.99,6530,6,-0.23,-0.29,0.11,0,0,24.84,501.1,487.5,382.7,378.2,0.00001688,-135.0006416,24.9,24.9,204.56,204.98,199.48,199.48,7.808,8.206,11.044,9.916,160.12,158.84,159.71,157.59,0,0,0,0,0,0,0,0,59.1,61.5,46.4,46.1,58.8,58.52,59.76,48.89,53.4,62.88,65.43,67.14,70.55,56.24,62.85,72.79
0.36,24.7,248,100,0,0,-0.39,0,0,284.1,145.54,44.916,0.38,0.196,3980,32,-0.88,6534,6,-0.19,-0.3,0.06,0,0,24.84,500.5,486.9,382.2,377.8,0.00001646,-135.0006291,24.9,24.9,204.05,204.17,199.61,199.61,7.808,8.206,11.044,9.916,160.13,158.83,159.75,157.62,0,0,0,0,0,0,0,0,55.6,57.3,46.5,45.7,58.8,58.52,59.77,48.9,53.41,62.89,65.45,67.17,70.58,56.27,62.88,72.82
0.38,26.1,248.2,100,0,0,-0.342,0,0,284.1,145.54,44.916,0.19,-0.364,3980,32,-0.78,6539,6,-0.01,-0.27,-0.21,0,0,24.84,499.9,486.4,381.8,377.3,0.00001604,-135.0006166,24.9,24.9,204.3,204.34,199.95,199.95,7.808,8.206,11.044,9.916,160.13,158.82,159.78,157.64,0,0,0,0,0,0,0,0,52.1,53.1,46.6,45.4,58.79,58.52,59.78,48.9,53.42,62.9,65.45,67.18,70.6,56.28,62.9,72.84
0.4,27.5,248.3,100,0,0,-0.293,0,0,284.1,145.54,44.916,-0.01,2.416,3980,32,-0.67,6543,6,0.17,-0.24,-0.49,0,0,24.84,499.3,485.8,381.3,376.9,0.00001562,-135.0006042,24.9,24.9,205.31,205.51,200.48,200.48,7.808,8.206,11.044,9.916,160.14,158.81,159.82,157.67,0,0,0,0,0,0,0,0,48.7,48.9,46.8,45,58.78,58.51,59.78,48.9,53.42,62.9,65.44,67.17,70.6,56.28,62.9,72.83
0.42,28.8,248.5,100,0,0,-0.244,0,0,284.1,145.54,44.916,-0.2,4.44,3980,32,-0.56,6547,6,0.13,-0.28,-0.37,0,0,24.83,498.7,485.2,380.9,376.5,0.0000152,-135.0005918,24.9,24.9,206.32,206.68,201.02,201.02,7.808,8.206,11.044,9.916,160.14,158.8,159.86,157.7,0,0,0,0,0,0,0,0,45.2,44.7,46.9,44.7,58.77,58.5,59.78,48.9,53.42,62.9,65.42,67.16,70.6,56.28,62.9,72.82
0.44,30.2,248.6,100,0,0,-0.274,0,0,284.1,145.54,44.916,-0.13,10.504,3980,32,-0.62,6552,6,0.09,-0.32,-0.25,0,0,24.83,498.1,484.6,380.5,376.1,0.00001478,-135.0005793,24.9,24.9,206.31,206.59,200.73,200.73,7.808,8.206,11.044,9.916,160.14,158.79,159.89,157.73,0,0,0,0,0,0,0,0,43.7,42.5,50.5,48.5,58.76,58.5,59.78,48.89,53.43,62.89,65.41,67.16,70.6,56.28,62.91,72.82
0.46,31.6,248.8,100,0,0,-0.303,0,0,284.1,145.54,44.916,-0.06,12.796,3980,32,-0.69,6557,6,0.14,-0.29,0.34,0,0,24.83,497.5,484,380.1,375.6,0.00001436,-135.0005668,24.9,24.9,206.3,206.5,200.44,200.44,7.808,8.206,11.044,9.916,160.15,158.78,159.93,157.76,0,0,0,0,0,0,0,0,42.1,40.3,54.1,52.2,58.75,58.49,59.78,48.89,53.43,62.89,65.4,67.15,70.6,56.28,62.91,72.81
