Time,Distance,LAP_BEACON,G_LAT,ROTY,STEERANGLE,SPEED,THROTTLE,BRAKE,GEAR,G_LON,CLUTCH,RPMS,TC,ABS,SUS_TRAVEL_LF,SUS_TRAVEL_RF,SUS_TRAVEL_LR,SUS_TRAVEL_RR,BRAKE_TEMP_LF,BRAKE_TEMP_RF,BRAKE_TEMP_LR,BRAKE_TEMP_RR,TYRE_PRESS_LF,TYRE_PRESS_RF,TYRE_PRESS_LR,TYRE_PRESS_RR,TYRE_TAIR_LF,TYRE_TAIR_RF,TYRE_TAIR_LR,TYRE_TAIR_RR,WHEEL_SPEED_LF,WHEEL_SPEED_RF,WHEEL_SPEED_LR,WHEEL_SPEED_RR,BUMPSTOPUP_RIDE_LF,BUMPSTOPUP_RIDE_RF,BUMPSTOPUP_RIDE_LR,BUMPSTOPUP_RIDE_RR
s,m,..,m/s2,deg/s,deg,km/h,%,%,no,m/s2,%,1/min,..,..,mm,mm,mm,mm,C,C,C,C,..,..,..,..,C,C,C,C,m/s,m/s,m/s,m/s,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.48,66,0,-0.22,-2.62,-3,169.8,100,0,3,0,0,6738,0,0,13,9,27,27,486,489,277,277,28,28,27,28,90,96,84,87,47,47,49,49,0,0,0,0
1.5,67,0,-0.21,-2.79,-3,170,100,0,3,0,0,6756,0,0,13,9,26,26,485,488,277,277,28,28,27,28,90,96,84,87,48,47,49,49,0,0,0,0
1.52,68,0,-0.21,-2.79,-3,170.5,100,0,3,0,0,6776,0,0,14,10,26,26,485,488,277,277,28,28,27,28,90,96,84,87,48,48,49,49,0,0,0,0
1.54,69,0,-0.24,-2.87,-3,170.7,100,0,3,0,0,6773,0,0,15,11,27,27,484,487,276,276,28,28,27,28,90,96,84,87,48,48,49,49,0,0,0,0
1.56,70,0,-0.24,-2.87,-3,170.9,100,0,3,0,0,6766,0,0,16,12,27,27,484,487,276,276,28,28,27,28,90,96,84,87,48,48,49,49,0,0,0,0
1.58,71,0,-0.24,-2.87,-3,171.1,100,0,3,0,0,6762,0,0,16,12,28,28,484,487,276,276,28,28,27,28,90,96,84,87,48,48,49,49,0,0,0,0
1.6,72,0,-0.26,-2.37,-3,171.4,100,0,3,0,0,6764,0,0,16,11,29,29,483,486,276,276,28,28,27,28,90,96,84,87,48,48,49,49,0,0,0,0
1.62,73,0,-0.26,-2.37,-3,171.8,100,0,3,0,0,6790,0,0,16,11,30,29,483,486,276,276,28,28,27,28,90,96,84,87,48,48,49,49,0,0,0,0
1.64,73,0,-0.21,-2.21,-3,172,100,0,3,0,0,6815,0,0,16,11,30,30,481,485,275,276,28,28,27,28,90,96,84,87,48,48,49,49,0,0,0,0
1.66,74,0,-0.21,-2.21,-3,172.2,100,0,3,0,0,6842,0,0,16,12,29,29,481,485,275,276,28,28,27,28,90,96,84,87,48,48,49,49,0,0,0,0
1.68,75,0,-0.21,-2.21,-3,172.4,100,0,3,0,0,6859,0,0,16,13,29,28,481,485,275,276,28,28,27,28,90,96,84,87,48,48,49,49,0,0,0,0
1.7,76,0,-0.23,-2.31,-3,172.6,100,0,3,0,0,6864,0,0,16,14,28,28,480,483,275,275,28,28,27,28,90,96,84,87,48,48,49,49,0,0,0,0
1.72,77,0,-0.23,-2.31,-3,173,100,0,3,0,0,6846,0,0,16,14,29,29,480,483,275,275,28,28,27,28,90,96,84,87,48,48,49,49,0,0,0,0
1.74,78,0,-0.25,-2.51,-3,173.3,100,0,3,0,0,6842,0,0,17,15,30,29,479,482,275,275,28,28,27,28,90,96,84,87,49,48,49,49,0,0,0,0
1.76,79,0,-0.25,-2.51,-3,173.5,100,0,3,0,0,6849,0,0,19,15,30,30,479,482,275,275,28,28,27,28,90,96,84,87,49,48,49,49,0,0,0,0
1.78,80,0,-0.25,-2.51,-3,173.7,100,0,3,0,0,6861,0,0,20,16,31,31,479,482,275,275,28,28,27,28,90,96,84,87,49,49,49,49,0,0,0,0
1.8,81,0,-0.2,-1.72,-2,173.9,100,0,3,0,0,6875,0,0,20,16,32,32,478,481,274,274,28,28,27,28,90,96,84,87,49,49,50,50,0,0,0,0
1.82,82,0,-0.2,-1.72,-2,174.3,100,0,3,0,0,6889,0,0,20,16,33,33,478,481,274,274,28,28,27,28,90,96,84,87,49,49,50,50,0,0,0,0
1.84,83,0,-0.13,-0.73,-2,174.5,100,0,3,0,0,6898,0,0,19,16,33,33,477,480,274,274,28,28,27,28,90,96,84,87,49,49,50,50,0,0,0,0
1.86,84,0,-0.13,-0.73,-1,174.8,100,0,3,0,0,6915,0,0,18,17,33,33,477,480,274,274,28,28,27,28,90,96,84,87,49,49,50,50,0,0,0,0
1.88,85,0,-0.13,-0.73,-1,174.9,100,0,3,0,0,6934,0,0,18,17,32,32,477,480,274,274,28,28,27,28,90,96,84,87,49,49,50,50,0,0,0,0
1.9,86,0,-0.07,-0.28,-1,175.1,100,0,3,0,0,6953,0,0,17,18,32,32,476,479,273,273,28,28,27,28,90,96,84,87,49,49,50,50,0,0,0,0
1.92,87,0,-0.07,-0.28,-1,175.6,100,0,3,0,0,6960,0,0,17,18,32,31,476,479,273,273,28,28,27,28,90,96,84,87,49,49,50,50,0,0,0,0
1.94,88,0,-0.05,-0.33,-1,175.8,100,0,3,0,0,6953,0,0,17,18,32,31,475,478,273,273,28,28,27,28,90,96,84,87,49,49,50,50,0,0,0,0
1.96,89,0,-0.05,-0.33,0,176,100,0,3,0,0,6950,0,0,17,18,32,31,475,478,273,273,28,28,27,28,90,96,84,87,49,49,50,50,0,0,0,0
1.98,90,0,-0.05,-0.33,0,176.2,100,0,3,0,0,6956,0,0,17,19,33,32,475,478,273,273,28,28,27,28,90,96,84,87,49,49,50,50,0,0,0,0
2,91,0,-0.06,-0.61,0,176.4,100,0,3,0,0,6969,0,0,17,19,33,32,474,477,272,272,28,28,27,28,90,96,84,87,49,49,50,50,0,0,0,0
2.02,92,0,-0.06,-0.61,1,176.8,100,0,3,0,0,6993,0,0,18,19,34,33,474,477,272,272,28,28,27,28,90,96,84,87,50,49,50,50,0,0,0,0
2.04,93,0,-0.07,-0.66,1,177,100,0,3,0,0,7001,0,0,19,20,35,33,473,476,272,272,28,28,27,28,90,96,84,87,50,50,50,50,0,0,0,0
2.06,94,0,-0.07,-0.66,2,177.2,100,0,3,0,0,7007,0,0,20,20,35,34,473,476,272,272,28,28,27,28,90,96,84,87,50,50,50,50,0,0,0,0
2.08,95,0,-0.07,-0.66,2,177.4,100,0,3,0,0,7011,0,0,21,20,35,35,473,476,272,272,28,28,27,28,90,96,84,87,50,50,51,51,0,0,0,0
2.1,96,0,-0.02,0.08,3,177.6,100,0,3,0,0,7016,0,0,20,20,36,35,471,475,271,272,28,28,27,28,90,96,84,87,50,50,51,51,0,0,0,0
2.12,97,0,-0.02,0.08,3,178,100,0,3,0,0,7036,0,0,21,20,36,36,471,475,271,272,28,28,27,28,90,96,84,87,50,50,51,51,0,0,0,0
2.14,98,0,0.03,1.03,4,178.2,100,0,3,0,0,7052,0,0,21,21,36,36,470,473,271,271,28,28,27,28,90,96,84,87,50,50,51,51,0,0,0,0
2.16,99,0,0.03,1.03,4,178.5,100,0,3,0,0,7066,0,0,21,21,35,36,470,473,271,271,28,28,27,28,90,96,84,87,50,50,51,51,0,0,0,0
2.18,100,0,0.03,1.03,4,178.6,100,0,3,0,0,7070,0,0,21,21,35,36,470,473,271,271,28,28,27,28,90,96,84,87,50,50,51,51,0,0,0,0
2.2,101,0,0.06,1.67,4,178.8,100,0,3,0,0,7071,0,0,22,22,35,37,469,472,271,271,28,28,27,28,90,96,84,87,50,50,51,51,0,0,0,0
2.22,102,0,0.06,1.67,3,179.2,100,0,3,0,0,7078,0,0,22,22,36,37,469,472,271,271,28,28,27,28,90,96,84,87,50,50,51,51,0,0,0,0
2.24,103,0,0.09,1.53,3,179.4,100,0,3,0,0,7088,0,0,22,23,36,38,468,471,270,270,28,28,27,28,90,96,84,87,50,50,51,51,0,0,0,0
2.26,104,0,0.09,1.53,3,179.7,100,0,3,0,0,7099,0,0,22,23,36,39,468,471,270,270,28,28,27,28,90,96,84,87,50,50,51,51,0,0,0,0
2.28,105,0,0.09,1.53,2,179.8,100,0,3,0,0,7107,0,0,22,24,37,39,468,471,270,270,28,28,27,28,90,96,84,87,50,50,51,51,0,0,0,0
2.3,106,0,0.07,0.98,2,180,100,0,3,0,0,7116,0,0,21,24,37,39,467,470,270,270,28,28,27,28,90,96,84,87,50,50,51,51,0,0,0,0
2.32,107,0,0.07,0.98,2,180.4,100,0,3,0,0,7133,0,0,21,23,37,39,467,470,270,270,28,28,27,28,90,96,84,87,50,50,51,51,0,0,0,0
2.34,108,0,0.05,0.41,1,180.6,100,0,3,0,0,7142,0,0,20,22,37,39,466,469,269,269,28,28,27,28,90,96,84,87,50,50,52,52,0,0,0,0
2.36,109,0,0.05,0.41,1,180.8,100,0,3,0,0,7153,0,0,19,21,36,38,466,469,269,269,28,28,27,28,90,96,84,87,50,50,52,52,0,0,0,0
2.38,110,0,0.05,0.41,1,181,100,0,3,0,0,7163,0,0,19,20,35,37,466,469,269,269,28,28,27,28,90,96,84,87,51,51,52,52,0,0,0,0
2.4,111,0,0.03,-0.15,1,181.2,100,0,3,0,0,7176,0,0,20,20,34,36,465,468,269,269,28,28,27,28,90,96,84,87,51,51,52,52,0,0,0,0
2.42,112,0,0.03,-0.15,1,181.6,100,0,3,0,0,7194,0,0,20,20,33,35,465,468,269,269,28,28,27,28,90,96,84,87,51,51,52,52,0,0,0,0
2.44,113,0,-0.01,-0.2,1,181.8,100,0,3,0,0,7191,0,0,21,20,33,35,464,467,268,268,28,28,27,28,90,96,84,87,51,51,52,52,0,0,0,0
2.46,114,0,-0.01,-0.2,2,182,100,0,3,0,0,7185,0,0,21,21,33,36,464,467,268,268,28,28,27,28,90,96,84,87,51,51,52,52,0,0,0,0
2.48,115,0,-0.01,-0.2,2,182.2,100,0,3,0,0,7184,0,0,21,21,34,37,464,467,268,268,28,28,27,28,90,96,84,87,51,51,52,52,0,0,0,0
2.5,116,0,0.01,0,2,182.4,100,0,3,0,0,7192,0,0,21,22,34,37,463,466,268,268,28,28,27,28,90,96,84,87,51,51,52,52,0,0,0,0
2.52,117,0,0.01,0,2,182.7,100,0,3,0,0,7220,0,0,22,22,35,38,463,466,268,268,28,28,27,28,90,96,84,87,51,51,52,52,0,0,0,0
2.54,118,0,0.03,-0.29,2,182.9,100,0,3,0,0,7233,0,0,23,23,35,38,461,464,267,267,28,28,27,28,90,96,84,87,51,51,52,52,0,0,0,0
2.56,119,0,0.03,-0.29,2,183.1,100,0,3,0,0,7239,0,0,24,24,36,39,461,464,267,267,28,28,27,28,90,96,84,87,51,51,52,52,0,0,0,0
